slug,kind,maker,model,year_from,blurb,fractal_names,photo_path,photo_credit,photo_license
archean,amp,PRS,Archon Classic 50 Head,,,"[""Archean""]",archean.jpg,Andertons / PRS Archon Classic 50,retailer product image (fair use editorial)
deluxe-6g3,amp,Fender,Brownface Deluxe 6G3,1961,,"[""Deluxe 6G3""]",deluxe-6g3.jpg,GuitarPlayer / Future (brownface Deluxe 6G3),editorial press photo (fair use editorial)
diamante,amp,Diamond,Del Fuego Head,,,"[""Diamante""]",diamante.jpg,SoundUnlimited / Diamond Del Fuego,retailer product image (fair use editorial)
friedman-hbe,amp,Friedman,BE-100 Deluxe (HBE),,,"[""Friedman HBE""]",friedman-hbe.jpg,Friedman Amplification / BE-100 Deluxe,manufacturer product image (fair use editorial)
plexi,amp,Marshall,1959 Super Lead Plexi,,,"[""Plexi""]",plexi.jpg,Wikimedia Commons / Marshall 1959SLP,see Wikimedia file page
plexi-studio-20,amp,Marshall,SV20H Studio Vintage,,,"[""Plexi Studio 20""]",plexi-studio-20.jpg,Andertons / Marshall SV20H,retailer product image (fair use editorial)
recto2,amp,Mesa/Boogie,Dual Rectifier 3-channel Head,,,"[""Recto2""]",recto2.jpg,Andertons / Mesa Dual Rectifier,retailer product image (fair use editorial)
revv-gen,amp,Revv,Generator 120,,,"[""Revv Gen""]",revv-gen.jpg,Andertons / Revv Generator 120,retailer product image (fair use editorial)
solo-99,amp,Soldano,X99 MIDI Preamp,,,"[""Solo 99""]",solo-99.jpg,Audiofanzine user photo / Soldano Caswell X99,user-submitted product photo (fair use editorial)
suhr-badger-18,amp,Suhr,Badger 18,,,"[""Suhr Badger 18""]",suhr-badger-18.jpg,Suhr / Badger family front,manufacturer product image (fair use editorial)
suhr-badger-30,amp,Suhr,Badger 30,,,"[""Suhr Badger 30""]",suhr-badger-30.jpg,Suhr / Badger family front,manufacturer product image (fair use editorial)
supro-black-magick,amp,Supro,Black Magick 1695T,,,"[""Supro Black Magick""]",supro-black-magick.jpg,Swee Lee / Supro 1695TJ Black Magick,retailer product image (fair use editorial)
triple-crest,amp,Mesa/Boogie,Triple Crown TC-100,,,"[""Triple Crest""]",triple-crest.jpg,Guitar Center / Mesa Triple Crown TC-100,retailer product image (fair use editorial)
usa-jp,amp,Mesa/Boogie,JP-2C,,,"[""USA JP""]",usa-jp.jpg,Andertons / Mesa JP-2C,retailer product image (fair use editorial)
usa-mk-iv,amp,Mesa/Boogie,Mark IV,,,"[""USA MK IV""]",usa-mk-iv.jpg,Wikimedia Commons / MarkIV.jpg,see Wikimedia file page
usa-mk-v,amp,Mesa/Boogie,Mark V,,,"[""USA MK V""]",usa-mk-v.jpg,Russo Music / Mesa Mark V,retailer product image (fair use editorial)
