slug,kind,maker,model,year_from,blurb,fractal_names,photo_path,photo_credit,photo_license
5f1-tweed,amp,Fender,"Narrow Panel Tweed Champ, 5F1",,,"{""5F1 Tweed""}",,,
5f8-tweed,amp,Fender,"Keith Urban's Fender Narrow Panel high-powered Tweed Twin, 5F8",,,"{""5F8 Tweed""}",,,
6g4-super,amp,Fender,"'60 brown Fender Super, 6G4",1960,,"{""6G4 Super""}",,,
6g12-concert,amp,Fender,"'60 brown Fender Concert, 6G12",1960,,"{""6G12 Concert""}",,,
59-bassguy,amp,Fender,"'59 Fender Narrow Panel Tweed Bassman, 5F6-A",1959,,"{""59 Bassguy""}",,,
65-bassguy,amp,Fender,"Dweezil Zappa's '65 blackface Fender Bassman, AB165",1965,,"{""65 Bassguy""}",,,
1959slp,amp,Marshall,"SLP1959, Vintage Re-Issue Series",,,"{""1959SLP""}",,,
1987x,amp,Marshall,"1987X, Vintage Re-issue Series",,,"{""1987X""}",,,
5153,amp,EVH,5150-III,,,"{""5153""}",,,
ac-20,amp,Morgan,AC20 Deluxe,,,"{""AC-20""}",,,
angle-severe,amp,Engl,Savage 120,,,"{""Angle Severe""}",,,
atomica,amp,Cameron,Atomica,,,"{""Atomica""}",,,
band-commander,amp,Fender,"'68 Fender Bandmaster, AB763",1968,,"{""Band-Commander""}",,,
blanknshp-leeds,amp,Blankenship,Leeds 21,,,"{""Blanknshp Leeds""}",,,
bludojai,amp,Bludotone,Ojai,,,"{""Bludojai""}",,,
bogfish,amp,Bogner,Fish preamp,,,"{""Bogfish""}",,,
boutique,amp,Matchless,Chieftain,,,"{""Boutique""}",,,
brit-800,amp,Marshall,JCM 800,,,"{""Brit 800"",""Brit 800 Mod"",""Brit 800 #34""}",,,
brit-afs100,amp,Marshall,"AFD100, Slash's signature amp",,,"{""Brit AFS100"",""Brit Super""}",,,
brit-jm45,amp,Marshall,JTM 45,,,"{""Brit JM45""}",,,
brit-jvm,amp,Marshall,JVM410H,,,"{""Brit JVM""}",,,
brit-pre,amp,Marshall,JMP-1 preamp,,,"{""Brit Pre""}",,,
brit-silver,amp,Marshall,Silver Jubilee,,,"{""Brit Silver""}",,,
brit-super,amp,Marshall,"AFD100, Slash's signature amp",,,"{""Brit Super""}",,,
buttery,amp,Budda,Twinmaster,,,"{""Buttery""}",,,
ca-od-2,amp,Carol-Ann,OD2,,,"{""CA OD-2""}",,,
ca-triptik,amp,Carol-Ann,Triptik,,,"{""CA Triptik""}",,,
ca-tucana,amp,Carol-Ann,Tucana 3,,,"{""CA Tucana""}",,,
ca3-plus,amp,Custom Audio Amplifiers,3+ SE preamp,,,"{""CA3+""}",,,
cali-leggy,amp,Carvin,"Legacy VL100, Steve Vai's signature amp",,,"{""Cali Leggy"",""Legato 100""}",,,
cameron-ccv,amp,Cameron,CCV-100,,,"{""Cameron CCV""}",,,
capt-hook,amp,HOOK,Captain 34,,,"{""Capt Hook""}",,,
car-roamer,amp,Carr,Rambler,,,"{""Car Roamer""}",,,
citrus-a30,amp,Orange,AD30HTC,,,"{""Citrus A30""}",,,
citrus-bass-200,amp,Orange,AD200B,,,"{""Citrus Bass 200""}",,,
citrus-rv50,amp,Orange,Rockerverb 50 MK II,,,"{""Citrus RV50""}",,,
citrus-terrier,amp,Orange,Tiny Terror,,,"{""Citrus Terrier""}",,,
class-a-15w-tb,amp,Vox,AC15,,,"{""Class-A 15W TB""}",,,
class-a-30w,amp,Vox,AC30,,,"{""Class-A 30W""}",,,
comet-60,amp,Komet,60,,,"{""Comet 60""}",,,
comet-concourse,amp,Komet,Concorde,,,"{""Comet Concourse""}",,,
corncob-m50,amp,Cornford,MK50 II,,,"{""Corncob M50""}",,,
