slug,kind,maker,model,year_from,blurb,fractal_names,photo_path,photo_credit,photo_license
1x8-5f1-tweed,cab,Fender,Champ 5F1 1x8,,,"[""1x8 5F1 TWEED""]",1x8-5f1-tweed.jpg,Wikimedia Commons / Fender Champ 5C1,Public domain / CC (see Commons)
1x8-princetone,cab,Fender,Princeton,,,"[""1x8 PRINCETONE""]",1x8-princetone.jpg,Wikimedia Commons / Fender Princeton,CC (see Commons)
1x10-bf-princetone,cab,Fender,Princeton Reverb (BF) 1x10,,,"[""1x10 BF PRINCETONE""]",1x10-bf-princetone.jpg,Wikimedia Commons / Fender Princeton Reverb,CC (see Commons)
1x10-metro-blues,cab,Fender,Metro Blues 1x10 (Blues Jr stand-in),,,"[""1x10 METRO BLUES""]",1x10-metro-blues.jpg,Wikimedia Commons / Fender Blues Junior,CC (see Commons)
1x10-sf-princetone,cab,Fender,Princeton (SF) 1x10,,,"[""1x10 SF PRINCETONE""]",1x10-sf-princetone.jpg,Wikimedia Commons / Fender Princeton,CC (see Commons)
1x12-ac20,cab,Vox,AC20 1x12,,,"[""1x12 AC20""]",1x12-ac20.jpg,local AC20 / Vox-family product photo,see amp source
1x12-black-magick,cab,Supro,Black Magick 1x12,,,"[""1x12 BLACK MAGICK""]",1x12-black-magick.jpg,Andertons / Friedman Dirty Shirley 1x12 (Supro-ish stand-in),retailer product image (fair use editorial)
1x12-car-ambler,cab,Carr,Rambler 1x12,,,"[""1x12 CAR AMBLER""]",1x12-car-ambler.jpg,local boutique / Matchless-family stand-in,see amp source
1x12-deluxe-tweed,cab,Fender,Deluxe Tweed 1x12,,,"[""1x12 DELUXE TWEED""]",1x12-deluxe-tweed.jpg,Wikimedia Commons / Tweed Deluxe,CC (see Commons)
1x12-deluxe-verb,cab,Fender,Deluxe Reverb 1x12,,,"[""1x12 DELUXE VERB""]",1x12-deluxe-verb.jpg,Wikimedia Commons / Deluxe Reverb,CC (see Commons)
1x12-div13-cj11,cab,Divided by 13,CJ11 1x12,,,"[""1x12 DIV13 CJ11""]",1x12-div13-cj11.jpg,local boutique / Class-A stand-in,see amp source
1x12-g12t-100,cab,Celestion/Marshall,G12T-100 1x12 IR cab,,,"[""1x12 G12T-100""]",1x12-g12t-100.jpg,Andertons / Marshall 1960B (G12T-75 family),retailer product image (fair use editorial)
1x12-hot-kitty,cab,Bad Cat,Hot Cat 1x12,,,"[""1x12 HOT KITTY""]",1x12-hot-kitty.jpg,local Bad Cat Hot Cat / Hot Kitty photo,see amp source
1x12-jr-blues,cab,Fender,Blues Junior 1x12,,,"[""1x12 JR BLUES""]",1x12-jr-blues.jpg,Wikimedia Commons / Blues Junior,CC (see Commons)
1x12-nuclear-tone,cab,Fuchs,Nuclear Tone 1x12,,,"[""1x12 NUCLEAR TONE""]",1x12-nuclear-tone.jpg,local ODS/boutique stand-in,see amp source
1x12-scholz,cab,Scholz/Rockman,Scholz 1x12,,,"[""1x12 SCHOLZ""]",1x12-scholz.jpg,local JC-120 / Rockman-era stand-in,see amp source
1x12-tweed-20112,cab,Fender,Tweed 20 1x12,,,"[""1x12 TWEED 20112""]",1x12-tweed-20112.jpg,Wikimedia Commons / Tweed Deluxe,CC (see Commons)
1x12-vibrato-lux,cab,Fender,Vibrolux Reverb,,,"[""1x12 VIBRATO LUX""]",1x12-vibrato-lux.jpg,Wikimedia Commons / Vibrolux Reverb,CC (see Commons)
