slug,kind,maker,model,year_from,blurb,fractal_names,photo_path,photo_credit,photo_license
klone-chiron,pedal,Klon,Centaur Professional Overdrive,,,"[""Klone Chiron""]",klone-chiron.jpg,The Music Zoo / Klon Centaur Gold Horsie,retailer product image (fair use editorial)
esoteric-bass-rcb,pedal,Xotic,Bass RC Booster V2,,,"[""Esoteric Bass RCB""]",esoteric-bass-rcb.jpg,Thomann / Xotic Bass RC Booster V2,retailer product image (fair use editorial)
griddle-cake,pedal,Crowther Audio,Hot Cake,,,"[""Griddle Cake""]",griddle-cake.jpg,Equipboard / Crowther Audio Hot Cake,product catalog image (fair use editorial)
bosom-boost,pedal,Friedman,Buxom Boost,,,"[""Bosom Boost""]",bosom-boost.jpg,Thomann / Friedman Buxom Boost,retailer product image (fair use editorial)
od-one-overdrive,pedal,Boss,OD-1 Over Drive,,,"[""OD-One Overdrive""]",od-one-overdrive.jpg,ModularGrid / Boss OD-1,user product photo (fair use editorial)
nobelium-ovd-1,pedal,Nobels,ODR-1 BC Natural Overdrive,,,"[""Nobelium OVD-1""]",nobelium-ovd-1.jpg,Thomann / Nobels ODR-1 BC,retailer product image (fair use editorial)
sunrise-splendor-hi-cut,pedal,JHS Pedals,Morning Glory V4 (Hi-Cut),,,"[""Sunrise Splendor Hi-Cut""]",sunrise-splendor-hi-cut.jpg,Thomann / JHS Morning Glory V4,retailer product image (fair use editorial)
gauss-drive,pedal,Mesa/Boogie,Flux-Drive,,,"[""Gauss Drive""]",gauss-drive.jpg,Thomann / Mesa Boogie Flux-Drive,retailer product image (fair use editorial)
sunrise-splendor,pedal,JHS Pedals,Morning Glory V4,,,"[""Sunrise Splendor""]",sunrise-splendor.jpg,Thomann / JHS Morning Glory V4,retailer product image (fair use editorial)
integral-pre,pedal,TC Electronic,Integrated Preamplifier,,,"[""Integral Pre""]",integral-pre.jpg,ModularGrid / TC Electronic Integrated Preamplifier,user product photo (fair use editorial)
colortone-booster,pedal,Colorsound,Power Boost,,,"[""Colortone Booster""]",colortone-booster.jpg,Kitrae / Colorsound Power Boost,editorial product photo (fair use editorial)
colortone-od,pedal,Colorsound,Overdriver,,,"[""Colortone OD""]",colortone-od.jpg,Equipboard / Colorsound Overdriver,product catalog image (fair use editorial)
mosfet-distortion,pedal,Ibanez,MT10 Mostortion,,,"[""MOSFET Distortion""]",mosfet-distortion.jpg,Equipboard / Ibanez MT10 Mostortion,product catalog image (fair use editorial)
super-fuzz,pedal,Univox,Super-Fuzz,,,"[""Super Fuzz""]",super-fuzz.jpg,Coda Effects / Univox Super-Fuzz,editorial product photo (fair use editorial)
77-custom-od,pedal,MXR,M77 Custom Badass Modified O.D.,,,"[""77 Custom OD""]",77-custom-od.jpg,Thomann / MXR M77 Custom Badass Modified O.D.,retailer product image (fair use editorial)
angry-chuck,pedal,JHS Pedals,Angry Charlie V3,,,"[""Angry Chuck""]",angry-chuck.jpg,Thomann / JHS Angry Charlie V3,retailer product image (fair use editorial)
guardian-photon-speed,pedal,Greer Amps,Lightspeed Organic Overdrive,,,"[""Guardian Photon Speed""]",guardian-photon-speed.jpg,Greer Amps / Lightspeed Organic Overdrive,manufacturer product image (fair use editorial)
paradigm-shifter,pedal,Barber Electronics,Gain Changer SR,,,"[""Paradigm Shifter""]",paradigm-shifter.jpg,Andertons / Barber Electronics Gain Changer SR,retailer product image (fair use editorial)
noamp-bass-di,pedal,Tech 21,SansAmp Bass Driver DI V2,,,"[""NoAmp Bass DI""]",noamp-bass-di.jpg,Thomann / Tech 21 SansAmp Bass Driver DI V2,retailer product image (fair use editorial)
noamp-bass-pre,pedal,Tech 21,SansAmp Bass Driver DI V2 (pre mode),,,"[""NoAmp Bass Pre""]",noamp-bass-pre.jpg,Thomann / Tech 21 SansAmp Bass Driver DI V2,retailer product image (fair use editorial)
royal-bass-di,pedal,Noble,Bass Preamp DI,,,"[""Royal Bass DI""]",royal-bass-di.jpg,Noble Amplifier Company / Preamp DI,manufacturer product image (fair use editorial)
