slug,kind,maker,model,year_from,blurb,fractal_names,photo_path,photo_credit,photo_license
bb-pre,pedal,Xotic,BB Preamp,,,"[""BB Pre""]",,,
bender-fuzz,pedal,Sola Sound / Vox,Tone Bender,,,"[""Bender Fuzz""]",,,
bit-crusher,pedal,Fractal Audio,Bit Crusher (custom),,,"[""Bit Crusher""]",,,
blackglass-b7k,pedal,Darkglass,Microtubes B7K,,,"[""Blackglass B7K""]",,,
blues-od,pedal,Marshall,Blues Breaker Mk1,,,"[""Blues OD""]",,,
box-ocrunch,pedal,MI Audio,Crunch Box Distortion,,,"[""Box o'Crunch""]",,,
compulsion-distortion,pedal,Fulltone,OCD V1.4,,,"[""Compulsion Distortion""]",,,
distortion-ds1,pedal,Boss,DS-1 Distortion,,,"[""Distortion DS1""]",,,
distortion-ds1-mod,pedal,Boss,DS-1 Distortion (mod),,,"[""Distortion DS1 Mod""]",,,
esoteric-acb,pedal,Xotic,AC Booster,,,"[""Esoteric ACB""]",,,
esoteric-rcb,pedal,Xotic,RC Booster V1,,,"[""Esoteric RCB""]",,,
eternal-love,pedal,Lovepedal,Eternity,,,"[""Eternal Love""]",,,
face-fuzz,pedal,Dallas-Arbiter,Fuzz Face,,,"[""Face Fuzz""]",,,
fas-boost,pedal,Fractal Audio,FAS Boost (custom),,,"[""FAS Boost""]",,,
fas-led-drive,pedal,Fractal Audio,FAS LED-Drive (custom),,,"[""FAS LED-Drive""]",,,
fet-boost,pedal,Fractal Audio,FET Boost (custom),,,"[""FET Boost""]",,,
fet-preamp,pedal,Fractal Audio,FET Preamp (custom),,,"[""FET Preamp""]",,,
full-od,pedal,Fulltone,Full-Drive 2,,,"[""Full OD""]",,,
hard-fuzz,pedal,Fractal Audio,Hard Fuzz (custom),,,"[""Hard Fuzz""]",,,
heartpedal-11,pedal,Lovepedal,OD11 / Amp Eleven,,,"[""Heartpedal 11""]",,,
hoodoo-drive,pedal,Voodoo Lab,OverDrive,,,"[""Hoodoo Drive""]",,,
horizon-precision-drive,pedal,Horizon Devices,Precision Drive,,,"[""Horizon Precision Drive""]",,,
jam-ray,pedal,Vemuram,Jan Ray,,,"[""Jam Ray""]",,,
m-zone-distortion,pedal,Boss,MT-2 Metal Zone,,,"[""M-Zone Distortion""]",,,
master-fuzz,pedal,Maestro,Fuzz-Tone FZ-1A,,,"[""Master Fuzz""]",,,
maxoff-808,pedal,Maxon,OD808 Overdrive,,,"[""Maxoff 808""]",,,
mcmlxxxi-drv,pedal,1981 Inventions,DRV,,,"[""MCMLXXXI DRV""]",,,
micro-boost,pedal,MXR,Micro Amp,,,"[""Micro Boost""]",,,
mid-boost,pedal,Fractal Audio,Mid Boost (custom),,,"[""Mid Boost""]",,,
octave-distortion,pedal,Tycobrahe,Octavia,,,"[""Octave Distortion""]",,,
od-250,pedal,DOD,Overdrive Preamp 250,,,"[""OD 250""]",,,
pi-fuzz,pedal,Electro-Harmonix,Big Muff Pi,,,"[""PI Fuzz""]",,,
plus-distortion,pedal,MXR,Distortion +,,,"[""Plus Distortion""]",,,
rat-distortion,pedal,Pro Co,RAT,,,"[""Rat Distortion""]",,,
fat-rat,pedal,Pro Co,Fat RAT,,,"[""Fat Rat""]",,,
sdd-preamp,pedal,Korg,SDD-3000 preamp,,,"[""SDD Preamp""]",,,
shimmer-drive,pedal,Fractal Audio,Shimmer Drive (custom),,,"[""Shimmer Drive""]",,,
shred-distortion,pedal,Marshall,Shredmaster,,,"[""Shred Distortion""]",,,
sonic-drive,pedal,Ibanez,SD-9 Sonic Drive,,,"[""Sonic Drive""]",,,
suhr-riot,pedal,Suhr,Riot,,,"[""Suhr Riot""]",,,
super-od,pedal,Boss,SD-1 Super OverDrive,,,"[""Super OD""]",,,
t808-od,pedal,Ibanez,Tube Screamer TS808,,,"[""T808 OD""]",,,
t808-mod,pedal,Ibanez,Tube Screamer TS808 (mod),,,"[""T808 Mod""]",,,
ts9dx-plus,pedal,Ibanez,TS9DX Turbo Tube Screamer,,,"[""TS9DX +""]",,,
ts9dx-plus-hot,pedal,Ibanez,TS9DX Hot,,,"[""TS9DX + Hot""]",,,
valve-screamer-vs9,pedal,Ibanez,Tube Screamer TS9,,,"[""Valve Screamer VS9""]",,,
tape-distortion,pedal,Fractal Audio,Tape Distortion (custom),,,"[""Tape Distortion""]",,,
timothy,pedal,Paul Cochrane,Timmy,,,"[""Timothy""]",,,
tone-of-kings,pedal,Analog Man,King of Tone,,,"[""Tone of Kings""]",,,
treble-boost,pedal,Fractal Audio,Treble Boost,,,"[""Treble Boost""]",,,
tube-drive,pedal,Butler,Tube Driver,,,"[""Tube Drive""]",,,
zen-master,pedal,Hermida,Zendrive,,,"[""Zen Master""]",,,
